Date : 2021-02-08 14:55:03
Directory : /Users/meldiron/Desktop/eteam
Total : 1599 files,  374892 codes, 24393 comments, 31280 blanks, all 430565 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/error505/error505.component.ts                                                                 | TypeScript            |         11 |          0 |          5 |         16 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/home-component/home-component.component.html                                                   | HTML                  |         33 |          0 |          1 |         34 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/home-component/home-component.component.scss                                                   | SCSS                  |         16 |          0 |          2 |         18 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/home-component/home-component.component.spec.ts                                                | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/home-component/home-component.component.ts                                                     | TypeScript            |         11 |          0 |          5 |         16 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/login/login.component.html                                                                     | HTML                  |         84 |          0 |          2 |         86 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/login/login.component.scss                                                                     | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/login/login.component.spec.ts                                                                  | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/login/login.component.ts                                                                       | TypeScript            |         45 |          0 |          8 |         53 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/register/register.component.html                                                               | HTML                  |        117 |         11 |         10 |        138 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/register/register.component.scss                                                               | SCSS                  |         10 |          0 |          1 |         11 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/register/register.component.spec.ts                                                            | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/app/register/register.component.ts                                                                 | TypeScript            |         66 |          4 |          9 |         79 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/assets/bootstrap.css                                                                               | CSS                   |      6,216 |          6 |        800 |      7,022 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/assets/speaker.svg                                                                                 | XML                   |         52 |          1 |          1 |         54 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/assets/style.css                                                                                   | CSS                   |          3 |          3 |          2 |          8 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/assets/theme.css                                                                                   | CSS                   |      3,947 |        147 |        729 |      4,823 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/environments/environment.prod.ts                                                                   | TypeScript            |          5 |          0 |          1 |          6 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/environments/environment.ts                                                                        | TypeScript            |          5 |         11 |          3 |         19 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/index.html                                                                                         | HTML                  |         16 |          0 |          3 |         19 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/karma.conf.js                                                                                      | JavaScript            |         29 |          2 |          2 |         33 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/main.ts                                                                                            | TypeScript            |          9 |          0 |          4 |         13 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/models/Question.ts                                                                                 | TypeScript            |         10 |          0 |          1 |         11 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/models/ReadyStatus.ts                                                                              | TypeScript            |          5 |          1 |          1 |          7 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/polyfills.ts                                                                                       | TypeScript            |          1 |         55 |          8 |         64 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/services/API.ts                                                                                    | TypeScript            |      4,685 |        665 |      1,507 |      6,857 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/services/Utils.ts                                                                                  | TypeScript            |         35 |          0 |          8 |         43 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/styles.scss                                                                                        | SCSS                  |          3 |          0 |          1 |          4 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/test.ts                                                                                            | TypeScript            |         13 |          4 |          4 |         21 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/tsconfig.app.json                                                                                  | JSON                  |          9 |          3 |          0 |         12 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/tsconfig.spec.json                                                                                 | JSON                  |         18 |          0 |          1 |         19 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/src/tslint.json                                                                                        | JSON                  |         17 |          0 |          1 |         18 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/tsconfig.json                                                                                          | JSON                  |         22 |          0 |          1 |         23 |
| /Users/meldiron/Desktop/eteam/AngularGlobal/tslint.json                                                                                            | JSON                  |         75 |          0 |          1 |         76 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/.prettierrc                                                                                 | JSON                  |          7 |          0 |          1 |          8 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/Dockerfile                                                                                  | Docker                |          7 |          0 |          1 |          8 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/README.md                                                                                   | Markdown              |         26 |          0 |         18 |         44 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/angular.json                                                                                | JSON                  |         99 |         23 |          0 |        122 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/e2e/protractor.conf.js                                                                      | JavaScript            |         24 |          6 |          2 |         32 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/e2e/src/app.e2e-spec.ts                                                                     | TypeScript            |         18 |          1 |          5 |         24 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/e2e/src/app.po.ts                                                                           | TypeScript            |          9 |          0 |          3 |         12 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/e2e/tsconfig.json                                                                           | JSON                  |         13 |          0 |          1 |         14 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/karma.conf.js                                                                               | JavaScript            |         29 |          2 |          2 |         33 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/package-lock.json                                                                           | JSON                  |     15,494 |          0 |          1 |     15,495 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/package.json                                                                                | JSON                  |         15 |         51 |          0 |         66 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/after-invite.guard.spec.ts                                                          | TypeScript            |         12 |          0 |          5 |         17 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/after-invite.guard.ts                                                               | TypeScript            |         41 |          5 |          6 |         52 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/app-routing.module.ts                                                               | TypeScript            |         52 |          0 |          3 |         55 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/app.component.html                                                                  | HTML                  |          1 |          0 |          1 |          2 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/app.component.scss                                                                  | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/app.component.spec.ts                                                               | TypeScript            |         31 |          0 |          5 |         36 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/app.component.ts                                                                    | TypeScript            |         21 |          0 |          3 |         24 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/app.module.ts                                                                       | TypeScript            |        111 |         61 |         22 |        194 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/assistent.service.spec.ts                                                           | TypeScript            |         12 |          0 |          5 |         17 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/assistent.service.ts                                                                | TypeScript            |        226 |          2 |         50 |        278 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/emoji-mp3.guard.spec.ts                                                             | TypeScript            |         12 |          0 |          4 |         16 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/emoji-mp3.guard.ts                                                                  | TypeScript            |         90 |          0 |         12 |        102 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/error/error.component.html                                                          | HTML                  |         24 |          8 |          3 |         35 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/error/error.component.scss                                                          | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/error/error.component.spec.ts                                                       | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/error/error.component.ts                                                            | TypeScript            |         17 |          0 |          3 |         20 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/form.service.spec.ts                                                                | TypeScript            |         12 |          0 |          5 |         17 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/form.service.ts                                                                     | TypeScript            |         23 |          0 |          9 |         32 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/hardware/cam.service.spec.ts                                                        | TypeScript            |          9 |          0 |          4 |         13 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/hardware/cam.service.ts                                                             | TypeScript            |         68 |          0 |         14 |         82 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/hardware/mic.service.spec.ts                                                        | TypeScript            |          9 |          0 |          4 |         13 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/hardware/mic.service.ts                                                             | TypeScript            |         97 |          1 |         24 |        122 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/base/base.component.html                                                        | HTML                  |        136 |         61 |         15 |        212 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/base/base.component.scss                                                        | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/base/base.component.spec.ts                                                     | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/base/base.component.ts                                                          | TypeScript            |        417 |         24 |         91 |        532 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/before/before.component.html                                                    | HTML                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/before/before.component.scss                                                    | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/before/before.component.spec.ts                                                 | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/before/before.component.ts                                                      | TypeScript            |        221 |          5 |          6 |        232 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/invite-cancel/invite-cancel.component.html                                      | HTML                  |         20 |          1 |          1 |         22 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/invite-cancel/invite-cancel.component.scss                                      | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/invite-cancel/invite-cancel.component.spec.ts                                   | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/invite-cancel/invite-cancel.component.ts                                        | TypeScript            |         15 |          0 |          3 |         18 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/invite/invite.component.html                                                    | HTML                  |         48 |          1 |          3 |         52 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/invite/invite.component.scss                                                    | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/invite/invite.component.spec.ts                                                 | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/invite/invite.component.ts                                                      | TypeScript            |         31 |          0 |          5 |         36 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/start/start.component.html                                                      | HTML                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/start/start.component.scss                                                      | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/start/start.component.spec.ts                                                   | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/start/start.component.ts                                                        | TypeScript            |        660 |         10 |         64 |        734 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-select-many/answer-select-many.component.html                      | HTML                  |         88 |          4 |         13 |        105 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-select-many/answer-select-many.component.scss                      | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-select-many/answer-select-many.component.spec.ts                   | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-select-many/answer-select-many.component.ts                        | TypeScript            |         85 |          0 |         19 |        104 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-select-one/answer-select-one.component.html                        | HTML                  |         81 |          4 |         14 |         99 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-select-one/answer-select-one.component.scss                        | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-select-one/answer-select-one.component.spec.ts                     | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-select-one/answer-select-one.component.ts                          | TypeScript            |         69 |          0 |         15 |         84 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-speak/answer-speak.component.html                                  | HTML                  |         85 |          0 |         14 |         99 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-speak/answer-speak.component.scss                                  | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-speak/answer-speak.component.spec.ts                               | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-speak/answer-speak.component.ts                                    | TypeScript            |         67 |          0 |         13 |         80 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-text/answer-text.component.html                                    | HTML                  |         55 |          0 |         10 |         65 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-text/answer-text.component.scss                                    | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-text/answer-text.component.spec.ts                                 | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/answer-text/answer-text.component.ts                                      | TypeScript            |         48 |          0 |         11 |         59 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/hardware-test/hardware-test.component.html                                | HTML                  |        139 |         22 |         16 |        177 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/hardware-test/hardware-test.component.scss                                | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/hardware-test/hardware-test.component.spec.ts                             | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/hardware-test/hardware-test.component.ts                                  | TypeScript            |         49 |          0 |          9 |         58 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/input/input.component.html                                                | HTML                  |         41 |          0 |          5 |         46 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/input/input.component.scss                                                | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/input/input.component.spec.ts                                             | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/input/input.component.ts                                                  | TypeScript            |         42 |          0 |          9 |         51 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-img/question-img.component.html                                  | HTML                  |         23 |          0 |          5 |         28 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-img/question-img.component.scss                                  | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-img/question-img.component.spec.ts                               | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-img/question-img.component.ts                                    | TypeScript            |         27 |          4 |          6 |         37 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-mp3/question-mp3.component.html                                  | HTML                  |         22 |          0 |          5 |         27 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-mp3/question-mp3.component.scss                                  | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-mp3/question-mp3.component.spec.ts                               | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-mp3/question-mp3.component.ts                                    | TypeScript            |         85 |          0 |          9 |         94 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-mp4/question-mp4.component.html                                  | HTML                  |         30 |          0 |          7 |         37 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-mp4/question-mp4.component.scss                                  | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-mp4/question-mp4.component.spec.ts                               | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/question-mp4/question-mp4.component.ts                                    | TypeScript            |        100 |          0 |          9 |        109 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/select-one/select-one.component.html                                      | HTML                  |         53 |          1 |          7 |         61 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/select-one/select-one.component.scss                                      | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/select-one/select-one.component.spec.ts                                   | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/select-one/select-one.component.ts                                        | TypeScript            |         26 |          0 |          8 |         34 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/self-review/self-review.component.html                                    | HTML                  |        388 |          0 |         11 |        399 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/self-review/self-review.component.scss                                    | SCSS                  |        112 |          0 |         15 |        127 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/self-review/self-review.component.spec.ts                                 | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/self-review/self-review.component.ts                                      | TypeScript            |         79 |          0 |         16 |         95 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/summary/summary.component.html                                            | HTML                  |         12 |          0 |          5 |         17 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/summary/summary.component.scss                                            | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/summary/summary.component.spec.ts                                         | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/summary/summary.component.ts                                              | TypeScript            |         67 |          0 |          6 |         73 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/text/text.component.html                                                  | HTML                  |         17 |          0 |          5 |         22 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/text/text.component.scss                                                  | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/text/text.component.spec.ts                                               | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/int/types/text/text.component.ts                                                    | TypeScript            |         20 |          1 |          6 |         27 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/interview-error/interview-error.component.html                                      | HTML                  |         23 |          8 |          3 |         34 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/interview-error/interview-error.component.scss                                      | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/interview-error/interview-error.component.spec.ts                                   | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/interview-error/interview-error.component.ts                                        | TypeScript            |         64 |          0 |          8 |         72 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/interview.guard.spec.ts                                                             | TypeScript            |         12 |          0 |          5 |         17 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/interview.guard.ts                                                                  | TypeScript            |         48 |          0 |          5 |         53 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/interview.service.spec.ts                                                           | TypeScript            |         12 |          0 |          5 |         17 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/interview.service.ts                                                                | TypeScript            |        122 |          4 |         26 |        152 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/lang.guard.spec.ts                                                                  | TypeScript            |         12 |          0 |          5 |         17 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/lang.guard.ts                                                                       | TypeScript            |         30 |          0 |          4 |         34 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/mic/mic.component.html                                                              | HTML                  |          7 |          0 |          1 |          8 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/mic/mic.component.scss                                                              | SCSS                  |          9 |          0 |          1 |         10 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/mic/mic.component.spec.ts                                                           | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/mic/mic.component.ts                                                                | TypeScript            |         11 |          0 |          3 |         14 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/remove.directive.spec.ts                                                            | TypeScript            |          7 |          0 |          2 |          9 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/remove.directive.ts                                                                 | TypeScript            |         13 |          0 |          2 |         15 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/server.service.spec.ts                                                              | TypeScript            |         12 |          0 |          5 |         17 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/server.service.ts                                                                   | TypeScript            |         32 |          0 |          8 |         40 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/services/API.ts                                                                     | TypeScript            |      3,779 |        630 |      1,052 |      5,461 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/services/Utils.ts                                                                   | TypeScript            |         97 |          0 |         20 |        117 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/shared/assistent/assistent.component.html                                           | HTML                  |         40 |          0 |          4 |         44 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/shared/assistent/assistent.component.scss                                           | SCSS                  |          0 |          0 |          1 |          1 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/shared/assistent/assistent.component.spec.ts                                        | TypeScript            |         20 |          0 |          6 |         26 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/shared/assistent/assistent.component.ts                                             | TypeScript            |         15 |          0 |          5 |         20 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/utils.service.spec.ts                                                               | TypeScript            |         12 |          0 |          5 |         17 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/app/utils.service.ts                                                                    | TypeScript            |         26 |          2 |          6 |         34 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/animate.min.css                                                              | CSS                   |          2 |          6 |          1 |          9 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/bootstrap.min.css                                                            | CSS                   |          1 |          6 |          1 |          8 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/colors/color-2.css                                                           | CSS                   |         96 |          0 |         16 |        112 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/colors/color-3.css                                                           | CSS                   |        107 |          0 |         16 |        123 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/colors/color-4.css                                                           | CSS                   |        107 |          0 |         16 |        123 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/colors/color-5.css                                                           | CSS                   |        107 |          0 |         15 |        122 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/colors/switch.css                                                            | CSS                   |         91 |          0 |         44 |        135 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/default.css                                                                  | CSS                   |          8 |          0 |          1 |          9 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/fontawesome-all.css                                                          | CSS                   |      1,938 |          6 |        918 |      2,862 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/css/style.css                                                                    | CSS                   |      1,475 |         47 |        148 |      1,670 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/fonts/fa-brands-400.svg                                                          | XML                   |      1,013 |          4 |          1 |      1,018 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/fonts/fa-regular-400.svg                                                         | XML                   |        362 |          4 |          1 |        367 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/fonts/fa-solid-900.svg                                                           | XML                   |      1,640 |          4 |          1 |      1,645 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/i18n/en.json                                                                     | JSON                  |        238 |          0 |          1 |        239 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/js/bootstrap.min.js                                                              | JavaScript            |          1 |          6 |          0 |          7 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/js/jquery-3.3.1.min.js                                                           | JavaScript            |          1 |          1 |          1 |          3 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/js/jquery.validate.min.js                                                        | JavaScript            |          1 |          3 |          0 |          4 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/locales.json                                                                     | JSON                  |          3 |          0 |          1 |          4 |
| /Users/meldiron/Desktop/eteam/AngularInterviewRefactor/src/assets/popup/css/bootstrap.min.css                                                      | CSS                   |          1 |          6 |          1 |          8 |
