Date : 2021-02-08 14:55:03
Directory : /Users/meldiron/Desktop/eteam
Total : 1599 files,  374892 codes, 24393 comments, 31280 blanks, all 430565 lines

Languages
+-----------------------+------------+------------+------------+------------+------------+
| language              | files      | code       | comment    | blank      | total      |
| AngularCompany/src/app                                                                                                                             |        249 |     20,500 |        837 |      2,057 |     23,394 |
| AngularCompany/src/app/auth-app-left                                                                                                               |          4 |         43 |          0 |         12 |         55 |
| AngularCompany/src/app/company-auth-check                                                                                                          |          4 |         38 |          0 |         11 |         49 |
| AngularCompany/src/app/company-board                                                                                                               |          4 |        685 |         15 |         58 |        758 |
| AngularCompany/src/app/company-division                                                                                                            |          4 |        463 |         20 |         30 |        513 |
| AngularCompany/src/app/company-faq                                                                                                                 |          4 |         33 |          0 |         10 |         43 |
| AngularCompany/src/app/company-forgot-pass                                                                                                         |          4 |        138 |          0 |         18 |        156 |
| AngularCompany/src/app/company-forgot-pass-finish                                                                                                  |          4 |        150 |          0 |         19 |        169 |
| AngularCompany/src/app/company-hrs                                                                                                                 |          4 |        323 |          2 |         21 |        346 |
| AngularCompany/src/app/company-index                                                                                                               |          4 |        185 |          0 |         19 |        204 |
| AngularCompany/src/app/company-interview-history                                                                                                   |          4 |        162 |          0 |         15 |        177 |
| AngularCompany/src/app/company-interview-history-detail                                                                                            |          4 |        204 |          2 |         18 |        224 |
| AngularCompany/src/app/company-login                                                                                                               |          4 |        138 |          0 |         17 |        155 |
| AngularCompany/src/app/company-registration-success                                                                                                |          4 |        131 |          0 |         14 |        145 |
| AngularCompany/src/app/company-settings                                                                                                            |          4 |        291 |         36 |         22 |        349 |
| AngularCompany/src/app/company-tokens                                                                                                              |          4 |        291 |          1 |         25 |        317 |
| AngularCompany/src/app/error404                                                                                                                    |          4 |         43 |          0 |         13 |         56 |
| AngularCompany/src/app/fast-interview                                                                                                              |          4 |        332 |          0 |         38 |        370 |
| AngularCompany/src/app/fast-interview-settings                                                                                                     |          4 |        508 |          0 |         49 |        557 |
| AngularCompany/src/app/global-account-type                                                                                                         |          4 |        283 |          0 |         26 |        309 |
| AngularCompany/src/app/global-support                                                                                                              |          4 |        216 |          7 |         21 |        244 |
| AngularCompany/src/app/hr-board                                                                                                                    |          4 |        819 |         19 |         65 |        903 |
| AngularCompany/src/app/hr-email-templates                                                                                                          |          4 |        491 |          0 |         49 |        540 |
| AngularCompany/src/app/hr-emails                                                                                                                   |          4 |        453 |          0 |         36 |        489 |
| AngularCompany/src/app/hr-emails-editor                                                                                                            |          4 |        328 |         19 |         42 |        389 |
| AngularCompany/src/app/hr-faq                                                                                                                      |          4 |         32 |          0 |         13 |         45 |
| AngularCompany/src/app/hr-fm-folders                                                                                                               |          4 |        120 |          3 |         14 |        137 |
| AngularCompany/src/app/hr-fm-img                                                                                                                   |          4 |        396 |          0 |         36 |        432 |
| AngularCompany/src/app/hr-fm-mp3                                                                                                                   |          4 |        289 |        260 |         23 |        572 |
| AngularCompany/src/app/hr-fm-mp4                                                                                                                   |          4 |        290 |        300 |         23 |        613 |
| AngularCompany/src/app/hr-forgot                                                                                                                   |          4 |        128 |          0 |         17 |        145 |
| AngularCompany/src/app/hr-forgot-password-finish                                                                                                   |          4 |        148 |          0 |         19 |        167 |
| AngularCompany/src/app/hr-form-templates                                                                                                           |          4 |        449 |          0 |         53 |        502 |
| AngularCompany/src/app/hr-index                                                                                                                    |          4 |        122 |          0 |         21 |        143 |
| AngularCompany/src/app/hr-interview                                                                                                                |          4 |        716 |          0 |         49 |        765 |
| AngularCompany/src/app/hr-interview-candidats                                                                                                      |          4 |        382 |          0 |         29 |        411 |
| AngularCompany/src/app/hr-interview-people                                                                                                         |          4 |        409 |        100 |         31 |        540 |
| AngularCompany/src/app/hr-interview-results                                                                                                        |          4 |        217 |          0 |         23 |        240 |
| AngularCompany/src/app/hr-interview-results-candidate                                                                                              |          4 |         97 |          0 |         19 |        116 |
| AngularCompany/src/app/hr-interview-results-candidate-detail                                                                                       |          4 |      1,396 |          2 |        109 |      1,507 |
| AngularCompany/src/app/hr-interview-results-compare                                                                                                |          4 |        582 |          1 |         70 |        653 |
| AngularCompany/src/app/hr-interview-results-slideshow                                                                                              |          4 |        284 |          0 |         29 |        313 |
| AngularCompany/src/app/hr-interview-slideshow-finish                                                                                               |          4 |         97 |          0 |         18 |        115 |
| AngularCompany/src/app/hr-interview-summary                                                                                                        |          4 |        614 |          0 |         52 |        666 |
| AngularCompany/src/app/hr-job-position-form-editor                                                                                                 |          4 |      1,597 |          7 |        156 |      1,760 |
| AngularCompany/src/app/hr-job-positions                                                                                                            |          4 |        390 |          0 |         27 |        417 |
| AngularCompany/src/app/hr-job-positions-form                                                                                                       |          4 |        599 |         17 |         54 |        670 |
| AngularCompany/src/app/hr-job-positions-form-medals                                                                                                |          4 |        265 |          0 |         36 |        301 |
| AngularCompany/src/app/hr-login                                                                                                                    |          4 |        143 |          0 |         18 |        161 |
| AngularCompany/src/app/hr-nonstop-interview                                                                                                        |          4 |        408 |          0 |         33 |        441 |
| AngularCompany/src/app/hr-registration-success                                                                                                     |          4 |        125 |          0 |         17 |        142 |
| AngularCompany/src/app/hr-settings                                                                                                                 |          4 |        386 |         15 |         22 |        423 |
| AngularCompany/src/app/interview-candidates-list                                                                                                   |          4 |        306 |          0 |         29 |        335 |
| AngularCompany/src/app/interview-editor                                                                                                            |          4 |      1,084 |          0 |        122 |      1,206 |
| AngularCompany/src/app/interview-error                                                                                                             |          4 |         32 |          0 |         13 |         45 |
| AngularCompany/src/app/type-select                                                                                                                 |          4 |         77 |          0 |         14 |         91 |
| AngularCompany/src/assets                                                                                                                          |        109 |     70,435 |      9,257 |      8,460 |     88,152 |
| AngularCompany/src/assets/static                                                                                                                   |          6 |     31,705 |      3,005 |      2,531 |     37,241 |
| AngularCompany/src/assets/static/fonts                                                                                                             |          1 |      2,671 |          0 |          1 |      2,672 |
| AngularCompany/src/assets/summernote                                                                                                               |         92 |     21,776 |      4,707 |      3,162 |     29,645 |
| AngularCompany/src/assets/summernote/dist                                                                                                          |         92 |     21,776 |      4,707 |      3,162 |     29,645 |
| AngularCompany/src/assets/summernote/dist/lang                                                                                                     |         84 |      4,916 |         43 |         92 |      5,051 |
| AngularCompany/src/classes                                                                                                                         |          1 |          8 |          0 |          2 |         10 |
| AngularCompany/src/environments                                                                                                                    |          2 |         14 |         11 |          4 |         29 |
| AngularCompany/src/models                                                                                                                          |          2 |         15 |          1 |          2 |         18 |
| AngularCompany/src/services                                                                                                                        |          3 |      5,386 |        700 |      1,647 |      7,733 |
| AngularGlobal                                                                                                                                      |         61 |     26,643 |        954 |      3,219 |     30,816 |
| AngularGlobal/e2e                                                                                                                                  |          4 |         64 |          3 |         10 |         77 |
| AngularGlobal/e2e/src                                                                                                                              |          2 |         27 |          1 |          8 |         36 |
| AngularGlobal/src                                                                                                                                  |         49 |     15,744 |        913 |      3,187 |     19,844 |
| AngularGlobal/src/app                                                                                                                              |         30 |        666 |         15 |        110 |        791 |
| AngularGlobal/src/app/auth-app-left                                                                                                                |          4 |         43 |          0 |         12 |         55 |
| AngularGlobal/src/app/error404                                                                                                                     |          4 |         44 |          0 |         12 |         56 |
| AngularGlobal/src/app/error505                                                                                                                     |          4 |         44 |          0 |         13 |         57 |
| AngularGlobal/src/app/home-component                                                                                                               |          4 |         80 |          0 |         14 |         94 |
| AngularGlobal/src/app/login                                                                                                                        |          4 |        149 |          0 |         17 |        166 |
| AngularGlobal/src/app/register                                                                                                                     |          4 |        213 |         15 |         26 |        254 |
| AngularGlobal/src/assets                                                                                                                           |          4 |     10,218 |        157 |      1,532 |     11,907 |
| AngularGlobal/src/environments                                                                                                                     |          2 |         10 |         11 |          4 |         25 |
| AngularGlobal/src/models                                                                                                                           |          2 |         15 |          1 |          2 |         18 |
| AngularGlobal/src/services                                                                                                                         |          2 |      4,720 |        665 |      1,515 |      6,900 |
| AngularInterviewRefactor                                                                                                                           |        201 |     38,965 |      1,209 |      4,458 |     44,632 |
| AngularInterviewRefactor/e2e                                                                                                                       |          4 |         64 |          7 |         11 |         82 |
| AngularInterviewRefactor/e2e/src                                                                                                                   |          2 |         27 |          1 |          8 |         36 |
| AngularInterviewRefactor/src                                                                                                                       |        186 |     23,104 |      1,126 |      4,418 |     28,648 |
| AngularInterviewRefactor/src/app                                                                                                                   |        120 |      9,149 |        859 |      1,968 |     11,976 |
| AngularInterviewRefactor/src/app/error                                                                                                             |          4 |         61 |          8 |         13 |         82 |
| AngularInterviewRefactor/src/app/hardware                                                                                                          |          4 |        183 |          1 |         46 |        230 |
| AngularInterviewRefactor/src/app/int                                                                                                               |         72 |      3,818 |        138 |        583 |      4,539 |
| AngularInterviewRefactor/src/app/int/base                                                                                                          |          4 |        573 |         85 |        113 |        771 |
| AngularInterviewRefactor/src/app/int/before                                                                                                        |          4 |        241 |          5 |         14 |        260 |
| AngularInterviewRefactor/src/app/int/invite                                                                                                        |          4 |         99 |          1 |         15 |        115 |
| AngularInterviewRefactor/src/app/int/invite-cancel                                                                                                 |          4 |         55 |          1 |         11 |         67 |
| AngularInterviewRefactor/src/app/int/start                                                                                                         |          4 |        680 |         10 |         72 |        762 |
| AngularInterviewRefactor/src/app/int/types                                                                                                         |         52 |      2,170 |         36 |        358 |      2,564 |
| AngularInterviewRefactor/src/app/int/types/answer-select-many                                                                                      |          4 |        193 |          4 |         39 |        236 |
| AngularInterviewRefactor/src/app/int/types/answer-select-one                                                                                       |          4 |        170 |          4 |         36 |        210 |
| AngularInterviewRefactor/src/app/int/types/answer-speak                                                                                            |          4 |        172 |          0 |         34 |        206 |
| AngularInterviewRefactor/src/app/int/types/answer-text                                                                                             |          4 |        123 |          0 |         28 |        151 |
| AngularInterviewRefactor/src/app/int/types/hardware-test                                                                                           |          4 |        208 |         22 |         32 |        262 |
| AngularInterviewRefactor/src/app/int/types/input                                                                                                   |          4 |        103 |          0 |         21 |        124 |
| AngularInterviewRefactor/src/app/int/types/question-img                                                                                            |          4 |         70 |          4 |         18 |         92 |
| AngularInterviewRefactor/src/app/int/types/question-mp3                                                                                            |          4 |        127 |          0 |         21 |        148 |
| AngularInterviewRefactor/src/app/int/types/question-mp4                                                                                            |          4 |        150 |          0 |         23 |        173 |
| AngularInterviewRefactor/src/app/int/types/select-one                                                                                              |          4 |         99 |          1 |         22 |        122 |
| AngularInterviewRefactor/src/app/int/types/self-review                                                                                             |          4 |        599 |          0 |         48 |        647 |
| AngularInterviewRefactor/src/app/int/types/summary                                                                                                 |          4 |         99 |          0 |         18 |        117 |
| AngularInterviewRefactor/src/app/int/types/text                                                                                                    |          4 |         57 |          1 |         18 |         76 |
| AngularInterviewRefactor/src/app/interview-error                                                                                                   |          4 |        107 |          8 |         18 |        133 |
| AngularInterviewRefactor/src/app/mic                                                                                                               |          4 |         47 |          0 |         11 |         58 |
| AngularInterviewRefactor/src/app/services                                                                                                          |          2 |      3,876 |        630 |      1,072 |      5,578 |
| AngularInterviewRefactor/src/app/shared                                                                                                            |          4 |         75 |          0 |         16 |         91 |
| AngularInterviewRefactor/src/app/shared/assistent                                                                                                  |          4 |         75 |          0 |         16 |         91 |
| AngularInterviewRefactor/src/assets                                                                                                                |         58 |     13,797 |        195 |      2,411 |     16,403 |
| AngularInterviewRefactor/src/assets/css                                                                                                            |         10 |      3,932 |         65 |      1,176 |      5,173 |
| AngularInterviewRefactor/src/assets/css/colors                                                                                                     |          5 |        508 |          0 |        107 |        615 |
| AngularInterviewRefactor/src/assets/fonts                                                                                                          |          3 |      3,015 |         12 |          3 |      3,030 |
| AngularInterviewRefactor/src/assets/i18n                                                                                                           |          1 |        238 |          0 |          1 |        239 |
| AngularInterviewRefactor/src/assets/js                                                                                                             |          3 |          3 |         10 |          1 |         14 |
| AngularInterviewRefactor/src/assets/popup                                                                                                          |         12 |      5,321 |         59 |        936 |      6,316 |
| AngularInterviewRefactor/src/assets/popup/css                                                                                                      |          3 |      2,128 |         26 |        924 |      3,078 |
| AngularInterviewRefactor/src/assets/popup/fonts                                                                                                    |          3 |      3,015 |         12 |          3 |      3,030 |
| AngularInterviewRefactor/src/assets/popup/js                                                                                                       |          3 |          2 |          7 |          2 |         11 |
| AngularInterviewRefactor/src/assets/popup/scss                                                                                                     |          3 |        176 |         14 |          7 |        197 |
| AngularInterviewRefactor/src/assets/scss                                                                                                           |          5 |      1,262 |         49 |        270 |      1,581 |
| AngularInterviewRefactor/src/assets/tts                                                                                                            |         23 |         23 |          0 |         23 |         46 |
| AngularInterviewRefactor/src/assets/tts/en                                                                                                         |         23 |         23 |          0 |         23 |         46 |
| AngularInterviewRefactor/src/environments                                                                                                          |          2 |          8 |         11 |          4 |         23 |
| AngularPlatform                                                                                                                                    |         62 |     23,009 |        895 |      1,814 |     25,718 |
| AngularPlatform/cli                                                                                                                                |          2 |         48 |          0 |         16 |         64 |
| AngularPlatform/e2e                                                                                                                                |          4 |         68 |          8 |         11 |         87 |
| AngularPlatform/e2e/src                                                                                                                            |          2 |         27 |          1 |          8 |         36 |
| AngularPlatform/src                                                                                                                                |         44 |      6,845 |        858 |      1,759 |      9,462 |
| AngularPlatform/src/app                                                                                                                            |         32 |      6,300 |        785 |      1,738 |      8,823 |
| AngularPlatform/src/app/components                                                                                                                 |          4 |        230 |          7 |         24 |        261 |
| AngularPlatform/src/app/components/shared                                                                                                          |          4 |        230 |          7 |         24 |        261 |
| AngularPlatform/src/app/components/shared/alert                                                                                                    |          4 |        230 |          7 |         24 |        261 |
| AngularPlatform/src/app/form                                                                                                                       |          1 |        108 |          7 |         19 |        134 |
| AngularPlatform/src/app/pages                                                                                                                      |         16 |        850 |         29 |         90 |        969 |
| AngularPlatform/src/app/pages/public                                                                                                               |         16 |        850 |         29 |         90 |        969 |
| AngularPlatform/src/app/pages/public/forgot-password                                                                                               |          4 |        156 |          4 |         17 |        177 |
| AngularPlatform/src/app/pages/public/login                                                                                                         |          4 |        309 |         13 |         32 |        354 |
| AngularPlatform/src/app/pages/public/register                                                                                                      |          4 |        339 |         11 |         30 |        380 |
| AngularPlatform/src/app/pages/public/wrapper                                                                                                       |          4 |         46 |          1 |         11 |         58 |
| AngularPlatform/src/app/services                                                                                                                   |          5 |      5,000 |        714 |      1,586 |      7,300 |
| AngularPlatform/src/assets                                                                                                                         |          4 |          4 |          0 |          0 |          4 |
| AngularPlatform/src/assets/logo                                                                                                                    |          4 |          4 |          0 |          0 |          4 |
| AngularPlatform/src/environments                                                                                                                   |          2 |          8 |         11 |          4 |         23 |
| AngularPlatform/src/locale                                                                                                                         |          1 |        488 |          0 |          0 |        488 |
| Email-Listener                                                                                                                                     |         30 |     10,910 |        140 |        542 |     11,592 |
| Email-Listener/config                                                                                                                              |          1 |         10 |          0 |          1 |         11 |
| Email-Listener/public                                                                                                                              |         11 |         33 |          0 |         11 |         44 |
